treasure_hunt_no_room_popup_body,"Sorry, there's no room in that tank to add %s!  Try another with more room, or purchase a new tank."
treasure_hunt_no_room_popup_title,No Room!
treasure_store_free_label,FREE!
treasure_store_earn_label,Earn Free Pearls
twitter_default_message,I'm playing %s on my iPhone - Everyone should check it out! AppStore: http://bit.ly/%s
iap_error_popup_title,Purchase Error!
iap_error_popup_body,There was a problem completing your purchase. Please try again later.
unopened_tank_locked_label,Locked
unopened_tank_build_label,Build
unopened_tank_finish_label,Finish
unopened_tank_open_label,Open
unopened_tank_building_label,Building
unopened_tank_speedup_popup_title,Speed up?  
unopened_tank_speedup_popup_body,Your tank will finish building in:
unopened_tank_more_pearls_popup_title,You need more treasure!
unopened_tank_more_pearls_popup_body,In order to rush your tank you need more pearls.  Let's drop by the treasure store!
announcements_popup_default_headline,Announcements
fish_dislikes_popup_title,Keep Your Fish Happy!
fish_dislikes_popup_body,%s Fish doesn't get along with %s Fish.  Make sure they are in seperate tanks!
fish_likes_fish_popup_title,%s Fish really likes the %s Fish.  Keep them in the same tank!
fish_likes_toy_popup_title,%s Fish really likes their favorite %s Toy.  Keep them in the same tank!
fish_profile_dislike_alert_title,%s Fish!
fish_profile_dislike_alert_body,%s Fish doesn't get along with %s Fish.  Put them in seperate tanks!
highscore_popup_description,"Your %s Fish, %s has broken a record!"
highscore_popup_facebook_caption,Can you beat my record?
highscore_popup_facebook_msg,"My %s Fish, %s, just broke a new fish flinging record in %s: %i Meters!"
highscore_popup_highscore_meter_label,%i Meters
internal_error_popup_title,Download Error!
internal_error_popup_body,There was a downloading problem.  Please close the game and try again.
internal_error_popup_error1,The download failed to complete.
item_info_popup_default_title,New Tank
item_info_popup_use_label,Use
item_info_popup_no_room_toy_title,No Room For Toys!
item_info_popup_no_room_toy_body,"Sorry, there's no room in this tank.  Let's buy another tank."
item_info_popup_no_room_tank_title,No room for decorations!
item_info_popup_no_room_tank_body,Oh no!  You ran out of room in your tank!  Let's drop by the tank store and see if you can expand the number of tanks you own.
new_baby_unique_label,%i Unique
out_of_treasure_popup_title,Out of %s!
out_of_treasure_popup_body,You don't have enough %s for this.  Let's stop by the store and get more.
out_of_treasure_free_pearls_body,Did you know you can earn FREE pearls?
out_of_treasure_free_pearls_title,Earn FREE Pearls!
tank_selection_title,Select a Tank
tank_selection_no_room_prop,this prop
tank_selection_no_room_decor,this decor
tank_selection_no_room_fish,this fish
tank_selection_cant_afford_new_tank_title,Can't afford tank!
tank_selection_cant_afford_new_tank_coins_body,"Sorry, you don't have enough coins to buy this tank!"
tank_selection_cant_afford_new_tank_pearls_body,"Sorry, you don't have enough pearls to buy this tank!"
tank_selection_no_room_title,No Room!
tank_selection_no_room_body1,"Sorry, there's no room in that tank to add %s!  Let's go buy a new Tank."
tank_selection_no_room_body2,"Sorry, there's no room in that tank to add this prop!  You can try another tank or go back and sell the item."
purchase_locked_popup_body,To buy this fish you need to be level %i
purchase_locked_popup_current_level,Current level: %i
quest_complete_popup_facebook_post,"I just completed the \""%s\"" quiest in %s!"
quest_complete_popup_facebook_caption,Complete quests to help unlock the rarest fish of them all!
sell_fish_popup_title,Sell Your Fish?
sell_fish_popup_body,Sell %s the %s fish for:
sell_item_popup_title,Sell Tank Item?
sell_item_popup_body,Sell your %s for:
social_gift_popup_thanks_title,Give thanks!
social_gift_popup_thanks_default_friend,your friend
social_gift_popup_thanks_button,Choose
social_gift_popup_thanks_body,One Time offer for new users!  Send 10 free pearls to %s.  Share the love!
social_gift_popup_fb_invite_title,Invite your friends!
social_gift_popup_fb_invite_body,"When you invite your friends to play, you can send each other free pearls every day!  Share the love!"
social_gift_popup_received_title,You got some gifts!
social_gift_popup_received_body,%s sent you a %s %i %s!  Why don't you return the favor?
social_gift_popup_received_body_sub1,combined gfit of
social_gift_popup_received_body_sub2,gift of
social_popup_fb_invite_button_pressed_label,Pending
social_popup_fb_wall_post_message,"Play with me!  Breed awesome fish, find rare treasures, and create amazing tanks!  http://bit.ly/%s"
social_popup_gift,gift
social_popup_gifts,gifts
social_popup_gifts_available_label,%i%s available to give today
social_popup_send_button,Sent
social_popup_gift_already_sent_title,Try again later
social_popup_gift_already_sent_body,You've sent all the gifts to %s you can send for today. Come back again later to send more!
social_popup_no_more_gifts_body,You've sent all the gifts you can send for today. Come back again later to send more!
social_select_friend_title,Select a friend
social_select_fb_message,%s thinks %s is just like the %s Fish in %s.
social_select_fb_caption,"Which fish are you like""?"
social_popup_fb_wall_post_description,"Play with me!  Breed awesome fish, find rare treasures, and create amazing tanks!  http://bit.ly/"
social_popup_fb_wall_post_caption,Play today!
speedup_popup_feed_preprend,"Once fed, %s"
store_popup_title,Store
store_prop_screen_title,Toys
tank_info_popup_title,Tank %i
tank_info_popup_decor_label,Tank Decor %s%
tank_level_up_popup_title,Tank %i is now a %i Star Tank!
tank_level_up_popup_3star_description,Your tank is in perfect harmony!!
tank_level_up_popup_description,Your tank is closer to perfect harmony.
tank_locked_popup_title,Tank %i
tank_locked_popup_description,This tank unlocks at Level %i
train_fish_popup_title,Train Fish?
train_fish_popup_description,Train %s so they'll earn more coins.
treasure_hunt_finish_title,No more digs!
treasure_hunt_finish_description,Go on another Treasure Hunt in \r%s's tank in: 
treasure_hunt_finish_popup_title,You need treasure!
treasure_hunt_finish_popup_description,In order to dig for treasure you need more pearls.  Pick some up from the Treasure Store!
treasure_hunt_start_popup_title,You can do %i more %s today!
treasure_hunt_dig,dig
treasure_hunt_digs,digs
treasure_hunt_start_social_description,Send %s on a treasure hunt in your friend's tank?  They might just find something incredible...
treasure_hunt_start_description,"Send %s on a treasure hunt?  In addition to searching for their favorite toy, they might find something incredible..."
treasure_store_title,Treasure
treasure_store_IAP_disabled_title,Purchase Error!
treasure_store_IAP_disabled_body,Your device is currently not set to make purchases.
facebook_gift_1_pearl_body,Here is a premium Pearl for your %s!  Log into Facebook from the game to receive your free gift!
facebook_gift_10_pearl_body,Here are 10 premium Pearls for your %s!
facebook_gift_default_body,Here are some premium Pearls for your %s!
facebook_nudge_message,Your tank looks like it needs your help!  Here's a free pearl!
facebook_invite_request_message,I'm playing %s on my iPhone - You should play it too! Gift me too :) Here is the link: http://bit.ly/%s
facebook_gift_connect_to_fb_title,You got %i Pearls!
facebook_gift_connect_to_fb_body,You've just received %i FREE Pearls for connecting with Facebook!  You can now visit your friends' tanks and send them gifts!
facebook_message_sent_successfully_title,Success!
facebook_message_sent_successfully_body,Your message was sent successfully.
facebook_message_invite_success_body,Your invite was sent successfully.
facebook_message_gift_success_body,Your gift was sent successfully.
facebook_message_wall_post_description,"Whether they're Happy or Mean, Flirty or Nerdy, Pop Star or Paparazzi, pair up different fish to get even more unique personalities for your tank!"
sms_default_message,I've started playing %s on the iPhone and I think you will like it too! Click here to start playing! http://bit.ly/%s
haui_out_of_pearls_popup_title,Out of Pearls!
haui_out_of_pearls_popup_body,You need more pearls!  Head over to the store to get more!
haui_out_of_food_popup_title,Ouf of Food!
haui_out_of_food_popup_body,You need more food to continue feeding your fish.  Head on over to the store to get some more!
haui_out_of_coins_popup_title,Out of Coins!
haui_out_of_coins_popup_body,You need more coins to continue.  Head over to the store to get more!
nuf_buy_mean_fish_open_store_popup,Here's your first friend: a Nice Fish! Let's get them a buddy. Tap the store to begin!
nuf_buy_mean_fish_open_fish_store_popup,Your collection starts here.  Tap to buy a baby fish!
nuf_buy_mean_fish_open_fish_purchase_popup,Think Mean and Nice Fish will get along?  There's only one way to find out!
nuf_buy_mean_fish_click_buy_button,This looks good to me!  Buy the Mean Fish.
nuf_feed_mean_fish,The poor little fella's hungry!  See how sad they look?  Let's feed our new baby fish.
nuf_mature_mean_fish,Delish!  Looks like they're ready for adulthood.  Tap them so they grow!
nuf_breed_fish_visit_tank,Lovely!  Let's see what kinds of kids there two fish can create.  Swipe over to the Breeding Tank.
nuf_breed_fish_click_breed_heart,Here's where the magic happens.\rTap 'Breed' to get started!
nuf_breed_fish_select_mean_fish,Let's match these two up.\rTap the Mean Fish on the left side...
nuf_breed_fish_select_nice_fish,...and the Nice Fish on the right side!
nuf_breed_fish_click_breed_button,Great!  Let's see what we get!
nuf_rush_breed_fish,What a match!  Let's hurry things up and find out what their kid is like!
nuf_rush_breed_fish_confirm,Tap to get this done in record time.
nuf_lay_egg,"Good work, an egg is ready!  Let's place it ever-so-carefully in the nest!"
nuf_rush_hatch_crazy_fish,"Now we wait for it to hatch... but who likes waiting?  Let's speed this up, too."
nuf_rush_hatch_crazy_fish_confirm,"Pearls can do anything, can't they?\rTap to finish!"
nuf_place_crazy_fish,Tap here to hatch your new fish!
nuf_place_crazy_fish_confirm,"A brand-new fish!  Looks a little Crazy, doesn't it?  Let's take 'em to the tank!"
nuf_place_crazy_fish_choose_tank,"We only have one tank so far,\rso let's put your Crazy Fish there!"
nuf_select_chest,Happy fish show their appreciation with coins. Collect them from the treasure chest with a tap!
nuf_collect_from_chest,Just give the 'Collect' button a tap!
nuf_select_happy_fish,Let's learn a little more about our fish.\rTap to check out our Nice friend.
nuf_open_happy_fish_profile,Just give the 'Profile' button a tap!
nuf_train_happy_fish,Not only can we learn about our fish here - we can also improve them! Click the 'Train' button!
nuf_train_happy_fish_confirm,"Training will make your fish earn more coins, which means you get richer!\rClick to confirm!"
nuf_train_happy_fish_rush,"They'll be busy training for a while, but we've got stuff to do! Let's hurry this up."
nuf_train_happy_fish_finish_now_1_pearl,"Just a single pearl, and we're set!"
nuf_train_happy_fish_finish_now_pearls,"Just %i pearls, and we're set!"
nuf_train_happy_fish_tap_to_finish,Looking good! Just give your fish\ra tap to finish its training!
nuf_train_happy_fish_waiting_for_level_up_popup,All done. Let's head back to the tank!
nuf_select_mean_fish,"We saw our Nice Fish has a toy, but our Mean Fish isn't so lucky. Let's send them on a treasure hunt to find it!"
nuf_select_dig,"With a little funding, our fishy friend can have an undersea adventure!\rTap 'Dig' to begin!"
nuf_confirm_dig,Let's fund this expedition! Tap to start!
nuf_place_treasure,"Yay, they found it! Let's place it in the tank and increase their happiness!"
nuf_open_tank_info_popup,All this delightful decor has made your tank a little nicer. Check it out!
nuf_close_tank_info_popup,Here's where you can learn about your tank's rating. Only the most magnificent tanks are three stars!
nuf_buy_brave_fish_open_store,Getting a Brave Fish is one of our first quests! Let's head to the store to buy one!
nuf_buy_brave_fish_open_fish_store,Tap 'Baby Fish' to continue!
nuf_buy_brave_fish_open_fish_purchase_popup,There's our courageous friend! Tap them!
nuf_buy_brave_fish_click_buy_button,I can't wait to see this fine fish in the tank! Click 'Buy' and they're yours!
nuf_view_quests,Awesome! There's more fun and adventures always waiting for you.\rTap here to see your quests!
nuf_close_quests,What marvelous missions! Check here often to find new quests and complete 'em for rich rewards!
hud_no_digging_in_breed_tank_title,Oops!
hud_no_digging_in_breed_tank_body,You can't dig for treasure in a Breeding Tank! Try going over to one of the other living tanks and giving it another shot.
hud_no_fish_for_digging_title,No fish to dig!
hud_no_fish_for_digging_body,"Oh no!  You don't currently have any fish that you can dig with.  Try again once you have a happy, well-fed adult."
hud_speed_up_training_title,Speed up?
hud_speed_up_training_body,Your fish will finish training in:
hud_speed_up_growing_title,Speed up?
hud_speed_up_growing_body,Your fish will finish growing in:
hud_chest_already_max_title,Max Treasure Chest
hud_chest_already_max_body,Your treasure chest is already the max level.
hud_free_social_digging,Dig for free in your friend's tank.
sand_wall_more_treasure_popup_title,You need treasure!
sand_wall_more_treasure_popup_body,In order to make this purchase you need more treasure. Let's drop by the treasure store!
prop_grow_speedup_popup_title,Speed up?
prop_grow_speedup_popup_body,Your idol will finish building in:
tank_daily_3star_bonus_popup_title,Pearl Bonus Collected
tank_daily_3star_bonus_popup_body,You collected your daily pearl bonus for having a 3-star tank! Congrats!!
unopened_breed_tank_speedup_build_popup_title,Speed up?
unopened_breed_tank_speedup_build_popup_body,Your tank will finish building in:
new_version_title,Update Notificaiton
new_version_message,A New Version Has Been Released.
new_version_alt_message,A New Version Has Been Released.\rPlease Update To The Latest Version To Continue Playing.
new_version_button_title,Ok
new_version_alt_button_title,Exit
new_version_confirm_button_title,Update Now
mail_friend_picker_title,Take the Plunge with %s!
mail_invite_default_body,"Check out %s! It's in the AppStore! <a href='http://bit.ly/%s'>Click here to start playing! http://bit.ly/%s</a>.  <br><br><p><a href=\""http://www.crowdstar.com\""><img width=100 src=\""http://www.crowdstar.com/img/header_logo.png\""></a></p>"
mail_feedback_picker_title,%s Feedback
mail_not_setup_title,Mail not setup!
mail_not_setup_body,"Sorry, we'd love to help you send us a message but it looks like your email isn't setup yet!"
mail_external_subject,%sTake the Plunge with %s!
mail_external_body,%sCheck out %s! It's in the AppStore! http://bit.ly/%s
locked_fish_purchase_tank_locked_title_textfield,Fish Locked!
locked_fish_purchase_common_btn_label_textfield,OK
locked_fish_purchase_tank_locked_description_textfield,
locked_fish_purchase_tank_locked_required_textfield,
locked_fish_purchase_tank_locked_current_textfield,
achievement_alert_achievement_title_textfield,
achievement_alert_achievement_description_textfield,
breed_choose_title_textfield,Select A Breeding Pair
breed_choose_breed_cost_textfield,
breeding_result_fail_tip_modal_textfield,The results of breeding aren't always guaranteed! You ended up with another parent this time - but keep trying for newer and better babies!
breeding_tank_locked_breed_build_title_textfield,Tank Locked!
breeding_tank_locked_common_btn_label_textfield,OK
breeding_tank_locked_breed_build_description_textfield,To breed in this tank you need the following:
breeding_tank_locked_breed_build_fish_textfield,Unique Fish
breeding_tank_locked_breed_build_fish_count_textfield,
breeding_tank_locked_breed_build_tanks_textfield,3 Star Tanks
breeding_tank_locked_breed_build_tanks_count_textfield,
breedspeedup_popup_timer_textfield,
breedspeedup_btn_cost_textfield,
breedspeedup_common_btn_label_textfield,Finish 
breedspeedup_popup_title_textfield,Finish Now?
breedspeedup_popup_description_textfield,Your egg will finish hatching in:
buy_tank_tank_buy_textfield,Buy
chest_chest_upgrade_hold_current_1_textfield,Currently holds:
chest_chest_upgrade_hold_current_2_textfield,
chest_chest_upgrade_title_textfield,Upgrade Chest!
chest_chest_upgrade_progress_textfield,
chest_chest_upgrade_hold_will_1_textfield,Will hold:
chest_chest_upgrade_hold_will_2_textfield,
chest_common_btn_label_textfield,Upgrade
chest_btn_cost_textfield,
fish_level_up_fish_levelup_description_textfield,Your fish has gained a level and earns more coins
fish_level_up_fish_levelup_title_textfield,
fish_level_up_fish_levelup_coins_textfield,
fish_profile_decor_alert_fish_decor_title_textfield,Decorate your tank!
fish_profile_decor_alert_fish_decor_description_textfield,Every fish deserves a beautiful home. Visit the store to beautify your tank!
fish_profile_dislike_alert_fish_dislike_title_textfield,
fish_profile_dislike_alert_fish_dislike_description_textfield,
generic_generic_title_textfield,
generic_common_btn_label_textfield,OK
generic_generic_description_textfield,
item_info_store_item_title_textfield,
item_info_store_item_description_textfield,
item_info_store_item_cost_textfield,
item_info_store_item_toy_textfield,Digging for treasure is a great way to get toys and decorations!
level_info_current_level_textfield,
level_info_xp_to_next_level_textfield,
main_fish_info_fish_profile_toy_textfield,Toy
main_fish_info_fish_profile_likes_textfield,Likes
main_fish_info_fish_profile_disikes_textfield,Dislikes
main_fish_info_fish_profile_type_textfield,Fish Type
main_fish_info_info_happy_textfield,Happiness
main_fish_info_fish_profile_friend_description_textfield,Click the image to pick a friend
main_fish_info_fish_profile_train_textfield,Train
main_fish_info_fish_profile_meter_status_textfield,Training
main_fish_info_fish_profile_decoration_textfield,Decor
main_fish_info_fish_profile_friend_btn_textfield,Change
main_fish_info_fish_profile_friend_textfield,Who is this fish like?
move_item_to_tank_secondary_title_textfield,What tank would you like to drop it into?
move_item_to_tank_navigation_title_textfield,Select A Tank
new_baby_popup_rare_common_btn_label_textfield,Place
new_baby_popup_rare_newbaby_description_textfield,
new_baby_popup_rare_newbaby_name_textfield,
new_baby_popup_rare_common_btn_label_textfield,Sell
new_baby_popup_rare_newbaby_toy_textfield,Favorite Toy
new_baby_popup_rare_newbaby_type_textfield,
new_baby_popup_rare_newbaby_rare_textfield,RARE BREED!
new_baby_common_btn_label_textfield,Place
new_baby_newbaby_description_textfield,
new_baby_common_btn_label_textfield,Sell
new_baby_newbaby_toy_textfield,Favorite Toy
new_baby_newbaby_type_textfield,
new_baby_popup_unique_newbaby_description_textfield,
new_baby_popup_unique_newbaby_name_textfield,
new_baby_popup_unique_newbaby_toy_textfield,Favorite Toy
new_baby_popup_unique_newbaby_type_textfield,
new_baby_popup_unique_newbaby_rare_textfield,NEW FISH
new_baby_popup_unique_common_btn_label_textfield,Place
new_baby_popup_unique_common_btn_label_textfield,Sell
new_baby_popup_unique_unique_fish_textfield,99 Unique
nuf_complete_common_btn_label_textfield,Begin
nuf_complete_nuf_complete_description_textfield,"Breed your fish to find new friends and personalities! Find the right fish, and you might be able to breed the rarest of them all..."
out_of_treasure_alert_title_textfield,
out_of_treasure_common_btn_label_textfield,OK
out_of_treasure_alert_description_textfield,
out_of_treasure_alert_require_1_textfield,You need:
out_of_treasure_alert_require_2_textfield,
rating_rating_title_textfield,Having a great time?
rating_common_btn_label_textfield,Rate Now
rating_rating_description_textfield,Rate us so we can keep making fun fish and great decorations for you!
rating_common_btn_label_textfield,Rate Later
sell_fish_common_btn_label_textfield,OK
sell_fish_sell_fish_description_textfield,
sell_fish_sell_fish_price_textfield,
sell_fish_sell_fish_title_textfield,Sell Fish?
sell_item_common_btn_label_textfield,OK
sell_item_sell_item_description_textfield,
sell_item_sell_item_price_textfield,
sell_item_sell_item_title_textfield,
sell_sell_textfield,Ok
sell_sell_description_textfield,
sell_sell_price_textfield,
sell_sell_title_textfield,
social_alert_social_alert_title_textfield,Connect With Facebook!
social_alert_social_alert_sub_description_textfield,Claim your reward by connecting today!
social_alert_btn_facebook_textfield,Facebook Login
social_alert_social_alert_description_textfield,Send/receive gifts and dig for treasure in friends' tanks for free!
social_alert_social_alert_reward_2_textfield,10
social_alert_social_alert_reward_1_textfield,Reward:
social_dig_fish_selector_dig_select_title_textfield,Dig for Treasure
social_dig_fish_selector_dig_select_description_textfield,Select the fish you want to do go dig
social_gift_social_gift_title_textfield,You got a gift!
social_gift_social_gift_description_textfield,
social_gift_common_btn_label_textfield,Ok
social_gift_fish_selector_social_fish_title_textfield,Select a fish!
social_gift_fish_selector_social_fish_description_textfield,
social_gift_fish_selector_social_fish_btn_4_textfield,Nerdy
social_gift_fish_selector_social_fish_btn_3_textfield,Crazy
social_gift_fish_selector_social_fish_btn_2_textfield,Pretty
social_gift_fish_selector_social_fish_btn_1_textfield,Evil
social_social_alert_sub_description_textfield,Claim your reward by connecting today!
social_btn_facebook_textfield,Facebook Login
social_social_alert_description_textfield,"Socialize with your friends by inviting them, sending them gifts, and visiting thier unique tanks!"
social_social_alert_reward_2_textfield,
social_social_alert_reward_1_textfield,Reward:
social_social_title_textfield,Social
social_social_description_textfield,
social_social_btn_twitter_textfield,Twitter
social_social_btn_facebook_textfield,Facebook
social_social_btn_email_textfield,Email
social_social_btn_text_textfield,Text
social_forum_btn_text_textfield,Forums
speedup_popup_title_textfield,Finish Now?
speedup_popup_timer_textfield,
speedup_btn_cost_textfield,
speedup_common_btn_label_textfield,Finish 
speedup_popup_description_textfield,
store_fish_info_cost_textfield,
store_fish_info_title_textfield,
store_fish_info_description_textfield,
store_fish_info_store_status_textfield,
store_title_textfield,
store_pearls_amount_textfield,
store_coin_amount_textfield,
storescreen_title_textfield,
storescreen_pearls_amount_textfield,
storescreen_coin_amount_textfield,
tank_info_tankinfo_decoration_textfield,
tank_info_tank_profile_fish_3_textfield,
tank_info_tank_profile_fish_4_textfield,
tank_info_tank_profile_fish_5_textfield,
tank_info_tank_profile_fish_6_textfield,
tank_info_tank_profile_fish_2_textfield,
tank_info_tank_profile_fish_1_textfield,
tank_info_tank_profile_name_textfield,
tank_info_tank_profile_legend_2_textfield,4 Ecstatic Fish
tank_info_tank_profile_legend_3_textfield,6 Ecstatic Fish
tank_info_tank_profile_legend_1_textfield,4 Happy Fish
tank_level_up_tank_levelup_description_textfield,Your tank is closer to perfect harmony.
tank_level_up_tank_levelup_title_textfield,
tank_navigation_tank_navigation_title_textfield,My Tanks
tank_selection_tank_title_textfield,Tank Placement
train_fish_fish_train_title_textfield,
train_fish_fish_train_description_textfield,Train your fish to earn more coins.
train_fish_fish_train_cost_btn_textfield,
train_fish_common_btn_label_textfield,Train
train_fish_fish_train_earn_current_1_textfield,Currently earns:
train_fish_fish_train_earn_current_2_textfield,
train_fish_fish_train_earn_will_1_textfield,Will earn:
train_fish_fish_train_earn_will_2_textfield,
treasure_finish_treasure_speedup_title_textfield,Dig again!
treasure_finish_treasure_speedup_timer_textfield,
treasure_finish_treasure_speedup_cost_textfield,
treasure_finish_common_btn_label_textfield,Dig Now!
treasure_finish_treasure_speedup_description_textfield,You can dig for new treasure in:
treasure_reward_btn_place_textfield,Place
treasure_reward_treasure_reward_item_textfield,
treasure_reward_treasure_reward__description_textfield,
treasure_reward_treasure_reward_title_textfield,Treasure Found!
treasure_reward_btn_sell_textfield,Sell
treasure_reward_treasure_reward_rarity_textfield,
treasure_start_treasure_title_textfield,Dig for Treasure!
treasure_start_treasure_description_textfield,
treasure_start_treasure_cost_textfield,
treasure_start_common_btn_label_textfield,Dig
treasure_start_treasure_subdescription_textfield,
treasure_start_treasure_tag_free_textfield,FREE
announcements_maintitle_textfield,Announcements
breeding_tank_selection_tank_placement_breed_title_textfield,Select a Tank
